RowName,Callsign,ProfileHint,Note
B01,HOLDFAST,Recruit,Reads as a bot that holds a line rather than presses it — fits Recruit's 500ms reaction and dulled aim.
B02,TRIPWIRE,Recruit,"An alarm, not a shooter — matches Recruit's rare grenade use and 25% accuracy."
B03,BACKSTOP,Recruit,"Last line, not first contact — suits the slowest, softest tuning row."
B04,FALLBACK,Recruit,"Named for retreating, not engaging — matches Recruit's dulled StateTree behavior."
B05,STANDBY,Recruit,Waits before it acts — pairs with the 500ms reaction floor.
B06,LOCKSTEP,Marine,"Moves with the squad, nothing flashy — the baseline profile in a word."
B07,FIREWALL,Marine,"Solid and situational, like the 45% accuracy / situational grenade row."
B08,IRONCLAD,Marine,"Dependable middle ground — no edge, no gap, just Marine's default numbers."
B09,WARDEN,Marine,"Holds a post competently — matches Marine's 0.65 cover_preference, steady not sharp."
B10,ANCHOR,Marine,Keeps the line where the default profile keeps it — the baseline callsign.
B11,DEADBOLT,Veteran,Locks on and doesn't let go — fits 65% accuracy and the tightest aim_error.
B12,CROSSFIRE,Veteran,Aggressive engagement fits the sharpened StateTree and 1.00 rocket_contest.
B13,NIGHTFALL,Veteran,Quiet until it commits — matches Veteran's tactical grenade use.
B14,REDLINE,Veteran,Pushed to the fastest setting — pairs with Veteran's 220ms reaction.
B15,GRIDLOCK,Veteran,Shuts an area down cleanly — fits the 0.85 cover_preference and short commit_window.
